Name,Country
Compass Gold Corporation,Canada
Compliance Energy Corporation,Canada
Comstock Metals Ltd,Canada
ComWest Enterprise Corp,Canada
Condor Resources Inc,Canada
Confederation Minerals Ltd,Canada
Conifex Timber Inc,Canada
Conquest Resources Limited,Canada
Consolidated Firstfund Capital Corp.,Canada
Consolidated Woodjam Copper Corp,Canada
Constantine Metal Resources Ltd,Canada
Contact Exploration Inc.,Canada
Coopers Park Corporation,Canada
Copper Creek Gold Corp,Canada
Copper Fox Metals Inc.,Canada
Copper North Mining Corp,Canada
Copper One Inc,Canada
Coral Gold Resources Ltd.,Canada
Corazon Gold Corp,Canada
Cordoba Minerals Corp,Canada
Cordy Oilfield Services Inc.,Canada
Corex Gold Corporation,Canada
Cornerstone Capital Resources Inc.,Canada
Cornerstone Metals Inc,Canada
Coronado Resources Ltd.,Canada
Coronet Metals Inc.,Canada
Corporate Catalyst Acquisition Inc.,Canada
Corporation minière Golden Share / Golden Share Mining Corporation,Canada
Corsa Coal Corp,Canada
Cortex Business Solutions Inc,Canada
Cortez Gold Corp,Canada
Cosigo Resources Ltd,Canada
Cougar Minerals Corp,Canada
Covalon Technologies Ltd.,Canada
Coventry Resources Inc.,Canada
Craig Wireless Systems Ltd.,USA
Crailar Technologies Inc.,Canada
Crazy Horse Resources Inc,Canada
Creso Exploration Inc,Canada
Crest Petroleum Corp,Canada
Cresval Capital Corp.,Canada
Cricket Resources Inc,Canada
Crimson Bioenergy Ltd,Canada
Critical Elements Corporation,Canada
Critical Outcome Technologies Inc.,Canada
Crown Gold Corporation,Canada
Crown Point Energy Inc,Canada
Crowsnest Acquisition Corp.,Canada
CRS Electronics Inc,Canada
CSM Systems Corp.,Canada
CT Developers Ltd,Canada
Cub Energy Inc,USA
CuOro Resources Corp,Canada
Curlew Lake Resources Inc.,Canada
Currie Rose Resources Inc.,Canada
CWC Well Services Corp.,Canada
CWN Mining Acquisition Corporation,Canada
CYGAM Energy Inc.,Canada
Cymat Technologies Ltd.,Canada
Cynapsus Therapeutics Inc,Canada
Cypress Development Corp.,Canada
Cypress Hills Resource Corp.,Canada
Dacha Strategic Metals Inc.,Canada
Dajin Resources Corp.,Canada
Dakar Resource Corp,Canada
Dalmac Energy Inc.,Canada
Damon Capital Corp,Canada
Darnley Bay Resources Limited,Canada
Darwin Resources Corp,Canada
Dawson Gold Corp,Canada
Decade Resources Ltd,Canada
Decisive Dividend Corporation,Canada
Declan Resources inc,Canada
Deer Horn Metals Inc,USA
Defiance Silver Corp,Canada
Deloro Resources Ltd.,USA
Delta Gold Corporation,Canada
DEQ Systems Corp.,Canada
Desert Eagle Resources Ltd,Canada
Desert Gold Ventures Inc.,Canada
Desert Star Resources Ltd.,Canada
Desmarais Energy Corporation,Canada
Desmond Investments Ltd,UK/Europe
Destiny Media Technologies Inc,Canada
Detector Exploration Ltd.,Canada
Deveron Resources Ltd.,Canada
DGM Minerals Corp,Canada
Diagnos Inc.,Canada
Diamcor Mining Inc.,Canada
DiaMedica Inc.,Canada
Diamond Estates Wines & Spirits Inc.,Canada
Diamond Fields International Ltd.,Canada
Digital Shelf Space Corp,Canada
Dios Exploration Inc.,Canada
Discovery Harbour Resources Corp.,Canada
Discovery Ventures Inc,Canada
Discovery-Corp Enterprises Inc.,Canada
Ditem Explorations Inc.,Canada
Divestco Inc.,Canada
DNI Metals Inc,Canada
Dolly Varden Silver Corporation,Canada
Donner Metals Ltd.,Canada
Donnybrook Energy Inc,Canada
Donnycreek Energy Inc,Canada
Dorex Minerals Inc.,Canada
DOT Resources Ltd.,Canada
Doubleview Capital Corp.,Canada
Doxa Energy Ltd,USA
Driven Capital Corp,Canada
DualEx Energy International Inc.,Canada
Dunav Resources Ltd,Canada
Duncan Park Holdings Corporation,Canada
Duncastle Gold Corp,Canada
Dundarave Resources Inc.,Canada
Dunnedin Ventures Inc.,Canada
Duran Ventures Inc.,Canada
Durango Resources Inc.,Canada
DV Resources Ltd,Canada
DXStorm.com Inc.,Canada
DynaCERT Inc.,Canada
Dynasty Gold Corp.,Canada
Dynex Power Inc.,China/Asia
E.S.I. Environmental Sensors Inc.,Canada
Eagle Hill Exploration Corporation,Canada
Eagle Mountain Gold Corp,Canada
Eagle Plains Resources Ltd.,Canada
Eagle Star Minerals Corp,Canada
Eaglewood Energy Inc,Canada
Earny Resources Ltd,Canada
Earthworks Industries Inc.,Canada
East Africa Metals Inc.,Canada
East Asia Minerals Corporation,Canada
East West Petroleum Corp,Canada
EastCoal Inc,Canada
Eastfield Resources Ltd.,Canada
Echelon Petroleum Corp.,Canada
Eco (Atlantic) Oil & Gas Ltd,Other
Ecometals Limited,Canada
Ecuador Gold and Copper Corp,Canada
Edge Resources Inc,Canada
Edgefront Realty Corp.,Canada
Edgewater Exploration Ltd,Canada
Edgewater Wireless Systems Inc,Canada
E-Energy Ventures Inc.,Canada
EFT Canada Inc.,Canada
Eguana Technologies Inc.,Canada
El Condor Minerals Inc,Canada
El Nino Ventures Inc.,Canada
El Tigre Silver Corp,Canada
Elcora Resources Corp.,Canada
Electra Gold Ltd.,Canada
Element 79 Capital Inc.,Canada
Elevation Capital Corp.,Canada
Elissa Resources Ltd.,Canada
Elkwater Resources Ltd.,Canada
Eloro Resources Ltd.,Canada
Ely Gold & Minerals Inc,Canada
EmberClear Corp,Canada
eMedia Networks International Corporation,Canada
Emerald Bay Energy Inc.,Canada
Emerge Resources Corp.,Canada
Emerita Gold Corp.,UK/Europe
Emgold Mining Corporation,Canada
Emperor Oil Ltd,Canada
Empire Industries Ltd,Canada
Empower Technologies Corporation,Canada
Enablence Technologies Inc,Canada
Encanto Potash Corp,Canada
Endurance Gold Corporation,Canada
Energold Drilling Corp.,Canada
Energulf Resources Inc.,Canada
Enhanced Oil Resources Inc,USA
Enpar Technologies Inc.,Canada
Enseco Energy Services Corp,Canada
Enssolutions Group Inc,USA
Entourage Metals Ltd,Canada
Entrec Corporation,Canada
Environmental Waste International Inc.,Canada
EnWave Corporation,Canada
ePals Corporation,USA
Epicore BioNetworks Inc.,USA
EPM Mining Ventures Inc,USA
Equitas Resources Corp.,Canada
Equitorial Exploration Corp.,Canada
Ergoresearch Ltd.,Canada
Erin Ventures Inc.,Canada
Eskay Mining Corp,Canada
Esrey Energy Ltd.,Canada
Essex Angel Capital Inc,Canada
Esstra Industries Inc.,Canada
ESTec Systems Corp.,Canada
Estrella Gold Corporation,Canada
Estrella International Energy Services Ltd,Mexico and Central/South America
Ethos Gold Corp,Canada
Eurasian Minerals Inc.,Canada
"Eureka Resources, Inc.",Canada
Eurocontrol Technics Group Inc,Canada
EurOmax Resources Ltd.,Canada
European Uranium Resources Ltd,Canada
Eurotin Inc,Canada
Everfront Ventures Corp,Canada
Evergreen Gaming Corporation,USA
Evermount Ventures Inc.,Canada
Everton Resources Inc.,Canada
Evrim Resources Corp,Canada
Excellium Inc,Canada
Excelsior Mining Corp,Canada
Exclamation Investments Corporation,Canada
Exito Energy II Inc.,Canada
EXO U Inc.,Canada
Expedition Mining Inc,Canada
Explor Resources Inc.,Canada
Exploration Autois Inc,Canada
Explorex Capital Ltd,Canada
Extenway Solutions Inc.,Canada
Eyelogic Systems Inc.,Canada
Fab-Form Industries Ltd.,Canada
Fairmont Resources Inc,Canada
Falco Pacific Resource Group Inc,Canada
Falcon Gold Corp,Canada
Falcon Oil & Gas Ltd.,UK/Europe
Family Memorials Inc.,Canada
Fancamp Exploration Ltd.,Canada
Feronia Inc,Canada
Ferrum Americas Mining Inc,Canada
Fieldex Exploration Inc.,Canada
Finavera Wind Energy Inc,Canada
Finlay Minerals Ltd.,Canada
Fire River Gold Corp,Canada
Firebird Energy Inc.,Canada
Firebird Resources Inc,Canada
Firesteel Resources Inc.,Canada
Firestone Ventures Inc.,Canada
Fireswirl Technologies Inc,Canada
Firm Capital Property Trust,Canada
First Americas Gold Corporation,Canada
First Bauxite Corporation,Canada
First Global Data Limited,Canada
First Growth Holdings Ltd.,Canada
First Idaho Resources Inc.,Canada
First Mexican Gold Corp,Canada
First Mountain Exploration Ltd,Canada
First Potash Corp.,USA
Fission 3.0 Corp.,Canada
Fission Uranium Corp.,Canada
Fjordland Exploration Inc.,Canada
Flinders Resources Limited,Canada
Flyht Aerospace Solutions Ltd,Canada
Flying A Petroleum Ltd.,Canada
Focus Graphite Inc,Canada
Focus Ventures Ltd.,Canada
Focused Capital II Corp,Canada
Folkstone Capital Corp,Canada
Foran Mining Corporation,Canada
Forent Energy Ltd,Canada
Formation Fluid Management Inc.,Canada
Fort St James Nickel Corp,Canada
Forum Uranium Corp,Canada
Franchise Bancorp Inc.,Canada
Franchise Services of North America Inc.,Canada
Free Energy International Inc,Canada
Freeport Resources Inc.,Canada
Freyja Resources Inc.,Canada
Friday Capital Inc.,Canada
Fronsac Real Estate Investment Trust,Canada
Frontline Gold Corporation,Canada
FSI Energy Group Inc,Canada
FTI Foodtech International Inc.,Canada
Full Metal Minerals Ltd.,Canada
Full Metal Zinc Ltd,Canada
G4G Resources Ltd,Canada
Gainey Capital Corp,Canada
Galane Gold Ltd,Canada
Galantas Gold Corporation,Canada
Galaxy Graphite Corp,Canada
Gale Force Petroleum Inc,Canada
Galena International Resources Ltd,Canada
Galileo Petroleum Ltd,Canada
Galore Resources Inc,Canada
Galway Gold Inc.,Canada
Galway Metals Inc.,Canada
Garibaldi Resources Corp.,Canada
