Company,Country
KCS ENERGY INC,US
HKN Inc,US
HOLLOMAN ENERGY CORP,US
CHEYENNE RESOURCES INC,US
MESA ROYALTY TRUST,US
CHEETAH OIL & GAS LTD,US
TXCO Resources Inc,US
GEOPETRO RESOURCES CO,US
NATURAL GAS SERVICES GROUP INC,US
GREKA ENERGY CORP,US
PEMBINA PIPELINE CORP,CA
AVON OVERSEAS CAPITAL CORP,US
Encompass Energy Services Inc,US
BENCH ROBERT K,US
CROSS TIMBERS ROYALTY TRUST,US
EVANS SYSTEMS INC,US
Ellora Energy Inc,US
Exterra Energy Inc,US
CHESAPEAKE EXPLORATION L P,US
PETSEC ENERGY LTD,NULL
CALIFORNIA PETROLEUM TRANSPORT CORP,US
HUGOTON ROYALTY TRUST,US
Cypress Energy Partners LP,US
GETTY PROPERTIES CORP,US
Compressco Partners LP,US
FIRST COLOMBIA GOLD CORP,US
PREEM HOLDINGS AB PUBL,SE
BREK ENERGY CORP,US
NGC CORP CAPITAL TRUST I,US
APACHE FINANCE CANADA CORP,CA
PDC 2004 D Limited Partnership,US
PDC 2004 C Limited Partnership,US
PDC 2004 B Limited Partnership,US
PDC 2004 A Limited Partnership,US
Shell International Finance B.V.,NL
STONE ENERGY CORP,US
PACIFIC ENERGY RESOURCES LTD,US
CITGO PETROLEUM CORP,US
Superior Well Services INC,US
Atlas Resources Public #16 2007 Program,US
HEADWATERS INC,US
TRANSATLANTIC PETROLEUM LTD,BM
STRIKER OIL & GAS INC,US
AsherXino Corp,US
SONORAN ENERGY INC,US
Venoco Acquisition Co LP,US
UNIVERSAL ENERGY CORP,US
CABOT OIL & GAS CORP,US
ENERGY & ENGINE TECHNOLOGY CORP,US
FREEDOM PETROLEUM INC,US
ABBY INC,US
Reef Global Energy VI LP,US
MCMORAN EXPLORATION CO,US
ARETE INDUSTRIES INC,US
ROWAN COMPANIES PLC,GB
MONUMENT RESOURCES INC,US
Allis Chalmers Energy Inc,US
WILLIAMS COAL SEAM GAS ROYALTY TRUST,US
OMEGA COMMERCIAL FINANCE CORP,US
ANV SECURITY GROUP INC,US
CARRIZO OIL & GAS INC,US
Cardinal Energy Group Inc,US
Diamondback Energy Services Inc,US
Insight Management Corp,US
RICHLAND RESOURCES CORP,US
American Motorcycle CORP,US
Ensource Energy Income Fund LP,US
VALLEY OF THE RIO DOCE CO,BR
Macquarie Infrastructure Co LLC,US
Macquarie Infrastructure CO Trust,US
VINTAGE PETROLEUM INC,US
INTERLINE RESOURCES CORP,US
LIONS PETROLEUM INC,US
PARKER DRILLING CO,US
PURCELL ENERGY LTD,CA
Encore Energy Partners LP,US
ORETECH INC,US
CALLON PETROLEUM CO,US
WEATHERFORD INTERNATIONAL LTD,BM
American Natural Energy Corp,US
Gastar Exploration USA Inc,US
NATIONAL ENERGY GROUP INC,US
